"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NN25",617,0,0.082,24.81,41.09,0.74,0.5,6,17
"NN26",618,0,0.083,24.37,44.02,0.74,0.5,5.7,23
"NN27",619,0,0.074,29.43,42.87,0.74,0.5,6.7,7
"NN28",620,1,0.074,28.08,35.41,0.74,0.6,7.7,9
"NN29",621,0,0.083,21.31,38.43,0.74,0.9,9.4,22
"NN30",622,1,0.093,26.43,35.31,0.74,0.7,7.6,7
"NN31",623,0,0.099,21.69,34.98,0.74,0.6,6.2,12
"NN32",624,4,0.112,22.07,33.42,0.74,0.6,5.6,5
"NN33",625,1,0.112,18.64,38.16,0.74,0.6,5.5,11
"NN34",626,4,0.1,20.86,36.99,0.74,0.6,5.7,17
"NN35",627,6,0.149,15.05,31.1,0.74,1.2,8.5,7
"NN36",628,0,0.076,27.38,41.2,0.74,0.5,6.2,17
"NN37",629,0,0.083,29.15,40.39,0.74,0.6,7.1,4
"NN38",630,0,0.076,24.32,41.22,0.74,0.5,6.1,18
"NN39",631,0,0.057,30.19,41.42,0.74,0.4,5.7,30
"NN40",632,2,0.104,22.61,30.37,0.74,0.8,7.9,7
"NN41",633,0,0.118,20.97,38.07,0.74,0.7,6,5
"NN42",634,0,0.115,19.28,38.32,0.74,0.6,5.7,8
"NN43",635,0,0.096,22.07,38.48,0.74,0.5,5.5,13
"NN44",636,0,0.089,28.66,37.17,0.74,0.4,5.4,7
"NN45",637,3,0.123,14.97,30.81,0.74,1.2,9.2,13
"NN46",638,0,0.086,25.26,41.08,0.74,0.5,5.8,8
"NN47",639,0,0.076,34.22,40.29,0.74,0.5,6.8,5
"NN48",640,0,0.086,28.8,41.16,0.74,0.7,8.5,5
"NN49",641,0,0.069,26.36,39.69,0.74,0.4,5.6,12
"NN50",642,2,0.106,23.37,31.23,0.74,0.8,8.1,6
"NN51",643,0,0.11,21.29,34.45,0.74,0.9,8.3,7
"NN52",644,0,0.117,18.58,36.04,0.74,0.9,7.3,6
"NN53",645,2,0.111,21.93,40.31,0.74,0.6,6.1,6
"NN54",646,3,0.091,26.09,40.55,0.74,0.5,5.6,8
"NN55",647,8,0.121,15.03,31.85,0.74,1.2,9.4,15
"NN56",648,0,0.087,27.96,41.68,0.74,0.5,6.6,5
"NN57",649,0,0.085,34.58,41.23,0.74,0.6,8.4,3
"NN58",650,0,0.101,21.54,41.68,0.74,0.9,8.9,7
"NN59",651,0,0.064,28.36,29.08,0.74,0.5,6.4,14
"NN60",652,0,0.027,62.93,33.25,0.74,0.2,4.8,26
"NN61",653,0,0.118,18.26,35.16,0.74,0.7,5.7,8
"NN62",654,0,0.106,20.46,36.82,0.74,0.7,6.2,7
"NN63",655,0,0.094,24.38,37.84,0.74,0.6,6.6,7
"NN64",656,0,0.095,35.37,37.23,0.74,0.5,6.2,5
"NN65",657,2,0.094,30.77,40.19,0.74,0.7,8.6,5
"NN66",658,0,0.102,24.53,35.57,0.74,0.9,9.7,6
"NN67",659,0,0.071,38.66,44.46,0.74,0.7,10.5,9
"NN68",660,0,0.153,12.53,32.81,0.74,1.6,9.8,9
"NN69",661,0,0.097,22.89,29.65,0.74,0.9,9.2,13
"NN70",662,0,0.024,65.35,34.91,0.74,0.2,5.2,31
"NN71",663,0,0.068,26.27,31.64,0.74,0.7,9.3,19
"NN72",664,1,0.085,23.85,32.63,0.74,0.8,8.8,19
"NN73",665,0,0.114,27.62,31.36,0.74,0.5,5.5,4
"NN74",666,0,0.119,16.17,27.33,0.74,1.1,8.8,19
"NN75",667,1,0.108,18.59,28.14,0.74,1,9.2,9
